Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 3.866241, -7.237732
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 3.875778, -7.321045
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 3.913177, -7.391724
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 3.923294, -7.477966
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 3.961472, -7.550720
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.000000, -7.624084
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.039230, -7.698914
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.050095, -7.789612
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.090378, -7.867188
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.131470, -7.946167
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.172852, -8.025757
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.215347, -8.107483
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.258774, -8.190979
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.303238, -8.276550
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.311600, -8.292603
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.311584, -8.292603
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.311584, -8.292542
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.311584, -8.292542
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
Sun Oct 20 18:02:28 2024 | 
Sun Oct 20 18:02:28 2024 | Found mission objective blip.
Sun Oct 20 18:02:28 2024 | DestVec: 2473.879883, -1692.810059
Sun Oct 20 18:02:28 2024 | DIR: 4.311584, -8.292603
Sun Oct 20 18:02:28 2024 | Looking for mission objective blip.
Sun Oct 20 18:02:28 2024 | Found contender.
